name,latitude,longitude,score,neighborhood
Restaurant 1,40.674908023769476,-73.85456230583532,31,Harlem
Restaurant 2,40.79014286128198,-73.88373007649582,38,Astoria
Restaurant 3,40.74639878836228,-73.85907515876536,31,Flushing
Restaurant 4,40.7197316968394,-73.86577589743585,3,Williamsburg
Restaurant 5,40.63120372808849,-73.91031500317834,29,Williamsburg
Restaurant 6,40.63119890406724,-73.86171886474652,36,Chelsea
Restaurant 7,40.61161672243364,-73.98672612469221,22,Harlem
Restaurant 8,40.773235229154984,-73.97060257063713,38,Flushing
Restaurant 9,40.72022300234864,-73.99321590666342,14,Astoria
Restaurant 10,40.741614515559206,-73.95120045038551,28,Harlem
Restaurant 11,40.60411689885916,-73.94169840654658,35,Astoria
Restaurant 12,40.7939819704324,-73.95929764523392,12,Chelsea
Restaurant 13,40.76648852816008,-73.87568937362721,31,Chelsea
Restaurant 14,40.64246782213566,-73.94648700099596,6,Williamsburg
Restaurant 15,40.63636499344142,-73.9578598235469,21,Flushing
Restaurant 16,40.636680901970685,-73.91859558752626,27,Astoria
Restaurant 17,40.660848448591906,-73.97886136625378,1,Harlem
Restaurant 18,40.70495128632645,-73.87967045288688,5,Chelsea
Restaurant 19,40.68638900372842,-73.98881740344804,27,Williamsburg
Restaurant 20,40.65824582803961,-73.85196695950992,27,Williamsburg
Restaurant 21,40.72237057894448,-73.88416328460549,19,Astoria
Restaurant 22,40.62789877213041,-73.97019264776988,29,Chelsea
Restaurant 23,40.65842892970704,-73.99917168243147,10,Flushing
Restaurant 24,40.673272368658736,-73.87768078573177,27,Chelsea
Restaurant 25,40.69121399684341,-73.89397139842285,24,Astoria
Restaurant 26,40.7570351922786,-73.89064892479385,38,Astoria
Restaurant 27,40.63993475643167,-73.8843094479971,32,Chelsea
Restaurant 28,40.702846887682725,-73.98889330223989,0,Astoria
Restaurant 29,40.718482913772405,-73.94623014071836,26,Chelsea
Restaurant 30,40.609290082544,-73.98261964107122,12,Harlem
Restaurant 31,40.721508970380285,-73.87053448611866,2,Chelsea
Restaurant 32,40.634104824737456,-73.90650528097586,38,Chelsea
Restaurant 33,40.613010318597055,-73.9503652962721,5,Astoria
Restaurant 34,40.78977710745066,-73.99046624745709,7,Astoria
Restaurant 35,40.79312640661491,-73.95335265174265,26,Williamsburg
Restaurant 36,40.76167946962329,-73.95122250169598,8,Williamsburg
Restaurant 37,40.660922753834676,-73.89055907324929,36,Harlem
Restaurant 38,40.61953442280128,-73.90436637929672,32,Williamsburg
Restaurant 39,40.73684660530243,-73.86691808861355,23,Chelsea
Restaurant 40,40.68803049874792,-73.9291677612257,14,Astoria
Restaurant 41,40.624407646968955,-73.98206086310925,31,Williamsburg
Restaurant 42,40.69903538202225,-73.89301328191655,31,Williamsburg
Restaurant 43,40.606877704223045,-73.88588224270747,23,Harlem
Restaurant 44,40.78186408041575,-73.91580842036457,11,Harlem
Restaurant 45,40.651755996320006,-73.88435492300681,38,Chelsea
Restaurant 46,40.73250445687079,-73.92593066054533,1,Astoria
Restaurant 47,40.66234221521788,-73.9215900755927,2,Harlem
Restaurant 48,40.70401360423556,-73.93586884724621,36,Williamsburg
Restaurant 49,40.70934205586865,-73.99618713098839,16,Astoria
Restaurant 50,40.63697089110511,-73.98381628595101,1,Astoria
